RANK,TEAM,VALUE,PF AVG,PF VAR,COACH,EXP WR,LUCK,PWR
1,Luddy 3D Printers,2465.7273,,,,0.8169,,100.0
2,jray14,2281.2273,,,,0.7038,,69.693
3,jhenryy129,2292.0,,,,0.6681,,67.536
4,Charley Biggs,2388.0,,,,0.5044,,62.6321
5,MorsetheSeaHorse,2360.5455,,,,0.5035,,59.6031
6,KingSoladi,2203.1364,,,,0.6145,,53.0113
7,Ka'imi Fairbairn Fan Club,2236.6364,,,,0.5536,,50.9533
8,Wright Dining Pasta,2194.2273,,,,0.3144,,24.1802
9,jamesminrow,1924.6818,,,,0.5355,,15.78
10,Cozy Table,2171.7273,,,,0.1747,,8.7932
11,20russellw,2051.8182,,,,0.287,,6.3451
12,haymond,1960.9091,,,,0.3237,,0.0
