RANK,TEAM,AGE AVG,DYN,PICKS,LONG
1,Charley Biggs,25.6,840.3182,23080.25,100.0
2,Cozy Table,24.2174,1171.0909,14885.0,85.2527
3,Optimus Slime,23.913,680.0909,16474.75,73.481
4,MorsetheSeaHorse,24.7826,874.2727,16474.75,71.6204
5,Wright Dining Pasta,24.7273,799.6818,16474.75,68.4379
6,KingSoladi,24.9545,567.9091,16474.75,52.9668
7,jray14,26,675.7273,16474.75,44.0659
8,20russellw,27.0476,671.1818,16474.75,29.1751
9,jhenryy129,26.3636,398.0909,16474.75,24.2553
10,jamesminrow,28.08,406.0,19134.5,17.4284
11,Ka'imi Fairbairn Fan Club,26.2174,531.9091,13293.5,13.3579
12,Luddy 3D Printers,26.6667,554.4545,11980.5,0.0
