RANK,TEAM,PWR,LONG,OVERALL
1,Charley Biggs,62.6321,100.0,81.316
2,MorsetheSeaHorse,59.6031,71.6204,65.6117
3,jray14,69.693,44.0659,56.8795
4,KingSoladi,53.0113,52.9668,52.9891
5,Luddy 3D Printers,100.0,0.0,50.0
6,Cozy Table,8.7932,85.2527,47.0229
7,Wright Dining Pasta,24.1802,68.4379,46.3091
8,jhenryy129,67.536,24.2553,45.8957
9,Optimus Slime,0.0,73.481,36.7405
10,Ka'imi Fairbairn Fan Club,50.9533,13.3579,32.1556
11,20russellw,6.3451,29.1751,17.7601
12,jamesminrow,15.78,17.4284,16.6042
